"Day","Month","Rainfall","Year"
1,"Jan",0,2012
2,"Jan",0,2012
3,"Jan",0,2012
4,"Jan",0.01,2012
5,"Jan",0.8,2012
6,"Jan",0.5,2012
7,"Jan",0,2012
8,"Jan",0,2012
9,"Jan",0,2012
10,"Jan",0,2012
11,"Jan",0.4,2012
12,"Jan",0.9,2012
13,"Jan",2.3,2012
14,"Jan",0.6,2012
15,"Jan",19.1,2012
16,"Jan",8.7,2012
17,"Jan",0,2012
18,"Jan",0,2012
19,"Jan",0,2012
20,"Jan",0,2012
21,"Jan",0.01,2012
22,"Jan",0.01,2012
23,"Jan",1.3,2012
24,"Jan",4.5,2012
25,"Jan",2.2,2012
26,"Jan",0.8,2012
27,"Jan",0,2012
28,"Jan",0,2012
29,"Jan",0,2012
30,"Jan",0,2012
31,"Jan",0,2012
1,"Feb",0,2012
2,"Feb",0.01,2012
3,"Feb",0.01,2012
4,"Feb",0.01,2012
5,"Feb",0.1,2012
6,"Feb",0.4,2012
7,"Feb",3.1,2012
8,"Feb",0.7,2012
9,"Feb",0.01,2012
10,"Feb",0.01,2012
11,"Feb",0,2012
12,"Feb",0.01,2012
13,"Feb",0.01,2012
14,"Feb",0.3,2012
15,"Feb",0.01,2012
16,"Feb",0.01,2012
17,"Feb",0.01,2012
18,"Feb",0,2012
19,"Feb",0,2012
20,"Feb",0,2012
21,"Feb",1.7,2012
22,"Feb",1.3,2012
23,"Feb",2.9,2012
24,"Feb",0.5,2012
25,"Feb",0.01,2012
26,"Feb",0.01,2012
27,"Feb",0.01,2012
28,"Feb",18,2012
29,"Feb",0.5,2012
1,"Mar",0.01,2012
2,"Mar",0,2012
3,"Mar",0.2,2012
4,"Mar",0.5,2012
5,"Mar",0.01,2012
6,"Mar",0.3,2012
7,"Mar",0.01,2012
8,"Mar",3.3,2012
9,"Mar",0.2,2012
10,"Mar",0.01,2012
11,"Mar",8.4,2012
12,"Mar",6.6,2012
13,"Mar",1.7,2012
14,"Mar",0.01,2012
15,"Mar",0.6,2012
16,"Mar",0.2,2012
17,"Mar",0.01,2012
18,"Mar",0,2012
19,"Mar",0.01,2012
20,"Mar",0.01,2012
21,"Mar",0.01,2012
22,"Mar",0.01,2012
23,"Mar",0,2012
24,"Mar",0.1,2012
25,"Mar",0,2012
26,"Mar",0,2012
27,"Mar",0,2012
28,"Mar",0,2012
29,"Mar",0,2012
30,"Mar",0,2012
31,"Mar",0.01,2012
1,"Apr",0,2012
2,"Apr",0,2012
3,"Apr",0,2012
4,"Apr",0,2012
5,"Apr",48.5,2012
6,"Apr",10.9,2012
7,"Apr",0,2012
8,"Apr",0.3,2012
9,"Apr",28.9,2012
10,"Apr",0,2012
11,"Apr",0,2012
12,"Apr",0,2012
13,"Apr",0.01,2012
14,"Apr",0.01,2012
15,"Apr",0.01,2012
16,"Apr",11.8,2012
17,"Apr",16.6,2012
18,"Apr",0.01,2012
19,"Apr",28.2,2012
20,"Apr",66.2,2012
21,"Apr",0,2012
22,"Apr",0,2012
23,"Apr",0.3,2012
24,"Apr",0.01,2012
25,"Apr",4.8,2012
26,"Apr",0.01,2012
27,"Apr",34.5,2012
28,"Apr",22.2,2012
29,"Apr",21.2,2012
30,"Apr",0.5,2012
1,"May",0.01,2012
2,"May",0.4,2012
3,"May",0.01,2012
4,"May",35.7,2012
5,"May",3.4,2012
6,"May",0,2012
7,"May",0,2012
8,"May",0,2012
9,"May",0,2012
10,"May",6.1,2012
11,"May",1.4,2012
12,"May",0.1,2012
13,"May",4.6,2012
14,"May",1.9,2012
15,"May",22.1,2012
16,"May",14.4,2012
17,"May",2,2012
18,"May",83.8,2012
19,"May",7.4,2012
20,"May",49.6,2012
21,"May",0.01,2012
22,"May",0.01,2012
23,"May",0,2012
24,"May",0.01,2012
25,"May",0.01,2012
26,"May",28.4,2012
27,"May",5.8,2012
28,"May",10.5,2012
29,"May",0.1,2012
30,"May",0.01,2012
31,"May",0.01,2012
1,"Jun",0,2012
2,"Jun",8.6,2012
3,"Jun",0.01,2012
4,"Jun",0.01,2012
5,"Jun",0,2012
6,"Jun",0,2012
7,"Jun",0.01,2012
8,"Jun",0,2012
9,"Jun",1.5,2012
10,"Jun",26.8,2012
11,"Jun",0.2,2012
12,"Jun",2.8,2012
13,"Jun",22.5,2012
14,"Jun",0.01,2012
15,"Jun",0.01,2012
16,"Jun",60.3,2012
17,"Jun",24.6,2012
18,"Jun",17.7,2012
19,"Jun",1.4,2012
20,"Jun",0,2012
21,"Jun",31.2,2012
22,"Jun",16,2012
23,"Jun",0.01,2012
24,"Jun",4.9,2012
25,"Jun",0.2,2012
26,"Jun",0.8,2012
27,"Jun",0.01,2012
28,"Jun",0,2012
29,"Jun",3.9,2012
30,"Jun",38.1,2012
1,"Jul",4.3,2012
2,"Jul",0.01,2012
3,"Jul",0,2012
4,"Jul",0,2012
5,"Jul",22,2012
6,"Jul",0.8,2012
7,"Jul",2.7,2012
8,"Jul",0.4,2012
9,"Jul",0.01,2012
10,"Jul",0.01,2012
11,"Jul",0.01,2012
12,"Jul",1.3,2012
13,"Jul",9,2012
14,"Jul",7,2012
15,"Jul",2.1,2012
16,"Jul",18.4,2012
17,"Jul",1,2012
18,"Jul",34.3,2012
19,"Jul",0.01,2012
20,"Jul",4.2,2012
21,"Jul",2.2,2012
22,"Jul",1,2012
23,"Jul",112,2012
24,"Jul",99.5,2012
25,"Jul",82.3,2012
26,"Jul",28.1,2012
27,"Jul",25.7,2012
28,"Jul",0.01,2012
29,"Jul",0,2012
30,"Jul",0,2012
31,"Jul",9.5,2012
1,"Aug",0.2,2012
2,"Aug",0,2012
3,"Aug",0.01,2012
4,"Aug",0.4,2012
5,"Aug",6.8,2012
6,"Aug",2.8,2012
7,"Aug",0.01,2012
8,"Aug",0,2012
9,"Aug",0,2012
10,"Aug",7.7,2012
11,"Aug",64.7,2012
12,"Aug",12.4,2012
13,"Aug",9.5,2012
14,"Aug",1.9,2012
15,"Aug",0,2012
16,"Aug",15.4,2012
17,"Aug",0.01,2012
