"Day","Month","WindSpeed","Year"
1,"Jan",34.1,2011
2,"Jan",44.3,2011
3,"Jan",27.5,2011
4,"Jan",29.9,2011
5,"Jan",24.9,2011
6,"Jan",30,2011
7,"Jan",26.7,2011
8,"Jan",18.5,2011
9,"Jan",26.9,2011
10,"Jan",26,2011
11,"Jan",32.5,2011
13,"Jan",21.4,2011
14,"Jan",12.3,2011
15,"Jan",42.1,2011
16,"Jan",32.8,2011
17,"Jan",31,2011
18,"Jan",31.6,2011
19,"Jan",29.1,2011
20,"Jan",24,2011
21,"Jan",27.1,2011
22,"Jan",21.6,2011
23,"Jan",12.3,2011
24,"Jan",20.7,2011
25,"Jan",25.7,2011
26,"Jan",20.5,2011
27,"Jan",23,2011
28,"Jan",29.8,2011
29,"Jan",33.6,2011
30,"Jan",27,2011
31,"Jan",26.4,2011
1,"Feb",18,2011
2,"Feb",14.8,2011
3,"Feb",18.3,2011
4,"Feb",8.5,2011
5,"Feb",14.8,2011
6,"Feb",19.2,2011
7,"Feb",19,2011
8,"Feb",14.3,2011
9,"Feb",20.8,2011
10,"Feb",27,2011
11,"Feb",24.2,2011
12,"Feb",34.9,2011
13,"Feb",33,2011
14,"Feb",31,2011
15,"Feb",46.1,2011
16,"Feb",29.1,2011
17,"Feb",12.2,2011
18,"Feb",20.4,2011
19,"Feb",27.3,2011
20,"Feb",16.5,2011
21,"Feb",27.4,2011
22,"Feb",32.1,2011
23,"Feb",18.8,2011
24,"Feb",14.5,2011
25,"Feb",28.5,2011
26,"Feb",30.5,2011
27,"Feb",17.3,2011
28,"Feb",10.8,2011
1,"Mar",19.5,2011
2,"Mar",23,2011
3,"Mar",29.3,2011
4,"Mar",35.5,2011
5,"Mar",34.6,2011
6,"Mar",18.4,2011
7,"Mar",26,2011
8,"Mar",33.1,2011
9,"Mar",36.3,2011
10,"Mar",27.5,2011
11,"Mar",26.4,2011
12,"Mar",21.4,2011
13,"Mar",7.1,2011
14,"Mar",12.2,2011
15,"Mar",28.5,2011
16,"Mar",32.8,2011
17,"Mar",37,2011
18,"Mar",46.5,2011
19,"Mar",26.4,2011
20,"Mar",12.5,2011
21,"Mar",11.1,2011
22,"Mar",24.5,2011
23,"Mar",26.2,2011
24,"Mar",24.7,2011
25,"Mar",26.1,2011
26,"Mar",34.8,2011
27,"Mar",23.6,2011
28,"Mar",22.6,2011
29,"Mar",21.9,2011
30,"Mar",35.5,2011
31,"Mar",26.5,2011
1,"Apr",19.3,2011
2,"Apr",11.5,2011
3,"Apr",5.3,2011
4,"Apr",25.6,2011
5,"Apr",37.4,2011
6,"Apr",31.3,2011
7,"Apr",13.9,2011
8,"Apr",5.1,2011
9,"Apr",23.3,2011
10,"Apr",14.4,2011
11,"Apr",17.2,2011
12,"Apr",35.5,2011
13,"Apr",16.8,2011
14,"Apr",8.5,2011
15,"Apr",8.3,2011
16,"Apr",16.7,2011
17,"Apr",20.7,2011
18,"Apr",15.3,2011
19,"Apr",26.6,2011
20,"Apr",34.2,2011
21,"Apr",23.7,2011
22,"Apr",11.5,2011
23,"Apr",22,2011
24,"Apr",14,2011
25,"Apr",7.1,2011
26,"Apr",12.5,2011
27,"Apr",22.9,2011
28,"Apr",18.4,2011
29,"Apr",25.6,2011
30,"Apr",8.3,2011
1,"May",9.1,2011
2,"May",12.9,2011
3,"May",11.8,2011
4,"May",16.8,2011
5,"May",19.2,2011
6,"May",14.3,2011
7,"May",11.3,2011
8,"May",14,2011
9,"May",13.3,2011
10,"May",11.5,2011
11,"May",17,2011
12,"May",14.9,2011
13,"May",14.3,2011
14,"May",35,2011
15,"May",29.7,2011
16,"May",9.8,2011
17,"May",22.5,2011
18,"May",28.2,2011
19,"May",24.5,2011
20,"May",14.9,2011
21,"May",14.3,2011
22,"May",20.3,2011
23,"May",12.4,2011
24,"May",19.5,2011
25,"May",18.4,2011
26,"May",11.3,2011
27,"May",6.2,2011
28,"May",9.7,2011
29,"May",23.7,2011
30,"May",25.3,2011
31,"May",18,2011
1,"Jun",16.1,2011
2,"Jun",10.4,2011
3,"Jun",11.3,2011
4,"Jun",18.8,2011
5,"Jun",16.3,2011
6,"Jun",19.5,2011
7,"Jun",26.6,2011
8,"Jun",20,2011
9,"Jun",17.9,2011
10,"Jun",8,2011
11,"Jun",15.8,2011
12,"Jun",12.3,2011
13,"Jun",15.7,2011
14,"Jun",26,2011
15,"Jun",27.9,2011
16,"Jun",18.3,2011
17,"Jun",28.1,2011
18,"Jun",22.5,2011
19,"Jun",12.4,2011
20,"Jun",11.8,2011
22,"Jun",55.8,2011
23,"Jun",46.7,2011
24,"Jun",17.4,2011
25,"Jun",19.8,2011
26,"Jun",17.8,2011
27,"Jun",18.3,2011
28,"Jun",17.5,2011
29,"Jun",31.2,2011
30,"Jun",27.3,2011
1,"Jul",22,2011
2,"Jul",18.2,2011
3,"Jul",17.6,2011
4,"Jul",17.9,2011
5,"Jul",18.4,2011
6,"Jul",22.2,2011
7,"Jul",23.7,2011
8,"Jul",23.5,2011
9,"Jul",20.4,2011
10,"Jul",10.6,2011
11,"Jul",10,2011
12,"Jul",13.4,2011
13,"Jul",24.2,2011
14,"Jul",19.8,2011
15,"Jul",18.4,2011
16,"Jul",36.5,2011
17,"Jul",22.3,2011
18,"Jul",23.5,2011
19,"Jul",9.1,2011
20,"Jul",21.9,2011
21,"Jul",14.8,2011
22,"Jul",17.9,2011
23,"Jul",11.4,2011
24,"Jul",14.8,2011
25,"Jul",19.4,2011
26,"Jul",10.8,2011
27,"Jul",15.9,2011
28,"Jul",27,2011
29,"Jul",35.2,2011
30,"Jul",22.6,2011
31,"Jul",14.2,2011
1,"Aug",7.1,2011
2,"Aug",15.6,2011
3,"Aug",20.5,2011
4,"Aug",14.3,2011
5,"Aug",8.5,2011
6,"Aug",14.5,2011
7,"Aug",13.8,2011
8,"Aug",15.7,2011
9,"Aug",12.4,2011
10,"Aug",20.5,2011
11,"Aug",16.2,2011
12,"Aug",12.8,2011
13,"Aug",14,2011
14,"Aug",12.4,2011
15,"Aug",11.3,2011
16,"Aug",10.9,2011
17,"Aug",11.6,2011
18,"Aug",9.8,2011
19,"Aug",14.5,2011
20,"Aug",15.5,2011
21,"Aug",7.9,2011
22,"Aug",8.8,2011
23,"Aug",13.7,2011
24,"Aug",15.1,2011
25,"Aug",7.3,2011
26,"Aug",11.2,2011
27,"Aug",8.7,2011
28,"Aug",14.4,2011
29,"Aug",18.4,2011
30,"Aug",23.9,2011
31,"Aug",13.1,2011
1,"Sep",11.8,2011
2,"Sep",6.2,2011
3,"Sep",15,2011
4,"Sep",8.5,2011
5,"Sep",6.8,2011
6,"Sep",9.7,2011
7,"Sep",15.3,2011
8,"Sep",18.4,2011
9,"Sep",27.6,2011
10,"Sep",34.6,2011
11,"Sep",37,2011
12,"Sep",33.2,2011
13,"Sep",19.8,2011
14,"Sep",16.9,2011
15,"Sep",24,2011
16,"Sep",25.9,2011
17,"Sep",27,2011
18,"Sep",30.4,2011
19,"Sep",24.7,2011
20,"Sep",24.7,2011
21,"Sep",24.6,2011
22,"Sep",30.9,2011
23,"Sep",38.4,2011
24,"Sep",41.2,2011
25,"Sep",51.5,2011
26,"Sep",44.9,2011
27,"Sep",19.4,2011
28,"Sep",37.2,2011
29,"Sep",63,2011
