Year,Month,Temperature
1993,1,26.8
1993,2,24.6
1993,3,28.4
1993,4,29.3
1993,5,31.8
1993,6,32.1
1993,7,32.9
1993,8,32.7
1993,9,32.7
1993,10,29.7
1993,11,29.9
1993,12,27.2
1994,1,27.2
1994,2,27
1994,3,26.1
1994,4,31.8
1994,5,32.6
1994,6,32.7
1994,7,34.3
1994,8,33.4
1994,9,32.6
1994,10,32.4
1994,11,29.3
1994,12,27.6
1995,1,25.3
1995,2,23.3
1995,3,26.2
1995,4,29.9
1995,5,33.4
1995,6,33.6
1995,7,33.4
1995,8,34.1
1995,9,33.8
1995,10,31.2
1995,11,27.4
1995,12,24.2
1996,1,26.2
1996,2,26.5
1996,3,28.4
1996,4,28.2
1996,5,29.9
1996,6,32.7
1996,7,34.4
1996,8,33
1996,9,33.2
1996,10,30.9
1996,11,31.2
1996,12,27.4
1997,1,25.6
1997,2,25.8
1997,3,27
1997,4,29.3
1997,5,31.4
1997,6,31.9
1997,7,32.5
1997,8,33.4
1997,9,32.1
1997,10,30.9
1997,11,30.4
1997,12,27.1
1998,1,27.2
1998,2,26.7
1998,3,27.5
1998,4,30.5
1998,5,31.4
1998,6,31.9
1998,7,33.5
1998,8,34.2
1998,9,32.3
1998,10,32.4
1998,11,29.8
1998,12,27.3
1999,1,26.6
1999,2,27.9
1999,3,30.7
1999,4,31.1
1999,5,30.8
1999,6,33.7
1999,7,33.7
1999,8,34.7
1999,9,33.5
1999,10,32.4
1999,11,28.3
1999,12,25.1
2000,1,26
2000,2,23.1
2000,3,27.7
2000,4,29.6
2000,5,32.4
2000,6,34
2000,7,33
2000,8,33.9
2000,9,33
2000,10,32.7
2000,11,28.5
2000,12,27.7
2001,1,26.2
2001,2,27.3
2001,3,29.1
2001,4,31.5
2001,5,32.2
2001,6,33.7
2001,7,33.5
2001,8,34.7
2001,9,34.3
2001,10,31.5
2001,11,31.2
2001,12,30
2002,1,27.4
2002,2,27.8
2002,3,28.9
2002,4,31.5
2002,5,32.3
2002,6,33.9
2002,7,34.1
2002,8,32.9
2002,9,33.6
2002,10,31.2
2002,11,28.8
2002,12,28.2
2003,1,24.3
2003,2,28
2003,3,27.7
2003,4,30.3
2003,5,32.5
2003,6,33
2003,7,34
2003,8,34.1
2003,9,33.3
2003,10,31.4
2003,11,31.6
2003,12,28.9
2004,1,25.5
2004,2,25.4
2004,3,27
2004,4,29.9
2004,5,32.1
2004,6,34.5
2004,7,34.6
2004,8,33.9
2004,9,33.1
2004,10,31.1
2004,11,28.9
2004,12,25.9
2005,1,22.7
2005,2,25.7
2005,3,27.2
2005,4,28.9
2005,5,31.3
2005,6,32.4
2005,7,35.7
2005,8,33.1
2005,9,34.9
2005,10,32.8
2005,11,29.7
2005,12,26
2006,1,24.7
2006,2,25.7
2006,3,27.5
2006,4,30.7
2006,5,31.3
2006,6,32.2
2006,7,34.3
2006,8,33.1
2006,9,33
2006,10,31.1
2006,11,29.3
2006,12,26.9
2007,1,24.1
2007,2,25.8
2007,3,28.2
2007,4,28.7
2007,5,32.1
2007,6,33.2
2007,7,33.5
2007,8,33.6
2007,9,33.2
2007,10,32.1
2007,11,27.3
