"Year","Month","Rainfall","Month_num"
1884,"Jan",0.01,1
1884,"Feb",87.1,2
1884,"Mar",148.2,3
1884,"Apr",134.3,4
1884,"May",229.5,5
1884,"Jun",280.5,6
1884,"Jul",332.3,7
1884,"Aug",275,8
1884,"Sep",314.5,9
1884,"Oct",78.6,10
1884,"Nov",38,11
1884,"Dec",0.01,12
1885,"Jan",22.4,1
1885,"Feb",68.9,2
1885,"Mar",62.6,3
1885,"Apr",378,4
1885,"May",123.1,5
1885,"Jun",797.3,6
1885,"Jul",344.7,7
1885,"Aug",708.4,8
1885,"Sep",148.8,9
1885,"Oct",63.7,10
1885,"Nov",19.4,11
1885,"Dec",31.8,12
1886,"Jan",51.2,1
1886,"Feb",38.5,2
1886,"Mar",65.5,3
1886,"Apr",144.2,4
1886,"May",44.9,5
1886,"Jun",270.4,6
1886,"Jul",717.7,7
1886,"Aug",230.7,8
1886,"Sep",76.1,9
1886,"Oct",71.5,10
1886,"Nov",1.1,11
1886,"Dec",45.1,12
1887,"Jan",214.3,1
1887,"Feb",47.9,2
1887,"Mar",74.7,3
1887,"Apr",143.5,4
1887,"May",52.1,5
1887,"Jun",139.5,6
1887,"Jul",307.3,7
1887,"Aug",334.2,8
1887,"Sep",278.2,9
1887,"Oct",51.7,10
1887,"Nov",19.9,11
1887,"Dec",21.7,12
1888,"Jan",4.6,1
1888,"Feb",100.8,2
1888,"Mar",265,3
1888,"Apr",176.7,4
1888,"May",495.7,5
1888,"Jun",605.9,6
1888,"Jul",268.3,7
1888,"Aug",337.7,8
1888,"Sep",162.7,9
1888,"Oct",114.9,10
1888,"Nov",19.7,11
1888,"Dec",104.2,12
1889,"Jan",18.5,1
1889,"Feb",18.2,2
1889,"Mar",63.4,3
1889,"Apr",311.9,4
1889,"May",1241.1,5
1889,"Jun",247.2,6
1889,"Jul",116.7,7
1889,"Aug",460.4,8
1889,"Sep",299.6,9
1889,"Oct",221.4,10
1889,"Nov",39,11
1889,"Dec",4.4,12
1890,"Jan",61.2,1
1890,"Feb",37.6,2
1890,"Mar",105.4,3
1890,"Apr",49.3,4
1890,"May",285.5,5
1890,"Jun",377.3,6
1890,"Jul",573.9,7
1890,"Aug",227.7,8
1890,"Sep",49.2,9
1890,"Oct",0.3,10
1890,"Nov",0.2,11
1890,"Dec",34.7,12
1891,"Jan",1,1
1891,"Feb",6.3,2
1891,"Mar",65,3
1891,"Apr",80.3,4
1891,"May",711.1,5
1891,"Jun",541.3,6
1891,"Jul",587.2,7
1891,"Aug",425.9,8
1891,"Sep",290.5,9
1891,"Oct",158,10
1891,"Nov",58.5,11
1891,"Dec",49.4,12
1892,"Jan",13,1
1892,"Feb",31.6,2
1892,"Mar",98.8,3
1892,"Apr",294,4
1892,"May",217.8,5
1892,"Jun",873.1,6
1892,"Jul",274.2,7
1892,"Aug",307.5,8
1892,"Sep",178,9
1892,"Oct",0.4,10
1892,"Nov",8.5,11
1892,"Dec",12.8,12
1893,"Jan",38.4,1
1893,"Feb",11.3,2
1893,"Mar",85.8,3
1893,"Apr",213.8,4
1893,"May",409.5,5
1893,"Jun",180.3,6
1893,"Jul",539.4,7
1893,"Aug",222.1,8
1893,"Sep",382.4,9
1893,"Oct",454.1,10
1893,"Nov",0.8,11
1893,"Dec",1.2,12
1894,"Jan",22.4,1
